Country,Year,Value
New Caledonia,2005,15.8
New Caledonia,2010,13.7
New Caledonia,2015,13.9
New Caledonia,2023,12.3
New Zealand,2005,3.8
New Zealand,2010,6.6
New Zealand,2015,5.4
New Zealand,2023,3.3
Nicaragua,2005,5.4
Nicaragua,2010,7.8
Nicaragua,2015,4.7
Nicaragua,2023,5.9
Niger,2005,3.1
Niger,2010,0.8
Niger,2015,0.5
Niger,2023,0.5
Nigeria,2005,3.8
Nigeria,2010,3.8
Nigeria,2015,4.2
Nigeria,2023,5.8
Niue,2001,2.2
Niue,2002,9.7
North Macedonia,2005,37.3
North Macedonia,2010,33.1
North Macedonia,2015,26.4
North Macedonia,2023,16.1
Northern Mariana Islands,2003,4.6
Northern Mariana Islands,2005,6.5
Northern Mariana Islands,2010,11.2
Norway,2005,4.4
Norway,2010,3.5
Norway,2015,4.3
Norway,2023,3.0
Oman,2005,4.2
Oman,2010,4.0
Oman,2015,3.4
Oman,2023,2.5
Pakistan,2005,0.6
Pakistan,2010,0.7
Pakistan,2015,3.6
Pakistan,2023,6.7
Palau,2005,4.2
Panama,2005,5.9
Panama,2010,5.9
Panama,2015,4.4
Panama,2023,9.3
Papua New Guinea,2005,2.4
Papua New Guinea,2010,2.0
Papua New Guinea,2015,2.4
Papua New Guinea,2023,2.7
Paraguay,2005,4.8
Paraguay,2010,4.6
Paraguay,2015,4.6
Paraguay,2023,6.5
Peru,2005,4.9
Peru,2010,3.6
Peru,2015,3.3
Peru,2023,3.6
Philippines,2005,3.8
Philippines,2010,3.6
Philippines,2015,3.1
Philippines,2023,2.2
Poland,2005,17.8
Poland,2010,9.6
Poland,2015,7.5
Poland,2023,2.9
Portugal,2005,7.6
Portugal,2010,10.8
Portugal,2015,12.5
Portugal,2023,6.1
Puerto Rico,2005,11.4
Puerto Rico,2010,16.1
Puerto Rico,2015,12.0
Puerto Rico,2023,5.6
Qatar,2005,0.9
Qatar,2010,0.5
Qatar,2015,0.2
Qatar,2023,0.1
Republic of Korea,2005,3.5
Republic of Korea,2010,3.3
Republic of Korea,2015,3.6
Republic of Korea,2023,2.9
Republic of Moldova,2005,7.3
Republic of Moldova,2010,7.5
Republic of Moldova,2015,4.7
Republic of Moldova,2023,2.3
Réunion,2005,30.1
Réunion,2010,28.9
Réunion,2013,28.9
Romania,2005,7.2
Romania,2010,7.0
Romania,2015,6.8
Romania,2023,5.3
Russian Federation,2005,7.1
Russian Federation,2010,7.4
Russian Federation,2015,5.6
Russian Federation,2021,4.7
Rwanda,2005,11.9
Rwanda,2010,11.9
Rwanda,2015,11.8
Rwanda,2023,12.7
Saint Kitts and Nevis,2001,5.1
Saint Lucia,2005,18.7
Saint Lucia,2010,17.1
Saint Lucia,2015,20.6
Saint Lucia,2023,16.3
Saint Vincent & Grenadines,2005,19.8
Saint Vincent & Grenadines,2010,19.0
Saint Vincent & Grenadines,2015,19.0
Saint Vincent & Grenadines,2023,18.8
Samoa,2005,5.3
Samoa,2010,5.7
Samoa,2015,8.8
Samoa,2023,9.9
San Marino,2010,4.4
San Marino,2014,6.6
Sao Tome and Principe,2005,16.5
Sao Tome and Principe,2010,14.6
Sao Tome and Principe,2015,13.8
Sao Tome and Principe,2023,15.5
Saudi Arabia,2005,6.1
Saudi Arabia,2010,5.6
Saudi Arabia,2015,5.6
Saudi Arabia,2023,5.6
Senegal,2005,8.9
Senegal,2010,10.2
Senegal,2015,6.8
Senegal,2023,3.4
Serbia,2005,20.9
Serbia,2010,19.2
Serbia,2015,17.7
Serbia,2023,10.3
Seychelles,2005,5.5
Seychelles,2011,4.1
Sierra Leone,2005,3.6
Sierra Leone,2010,4.2
Sierra Leone,2015,4.4
Sierra Leone,2023,3.7
Singapore,2005,5.6
Singapore,2010,4.1
Singapore,2015,3.8
Singapore,2023,3.1
Slovakia,2005,16.3
Slovakia,2010,14.4
Slovakia,2015,11.5
Slovakia,2023,6.1
Slovenia,2005,6.5
Slovenia,2010,7.2
Slovenia,2015,9.0
Slovenia,2023,4.2
Solomon Islands,2005,1.8
Solomon Islands,2010,1.6
Solomon Islands,2015,0.7
Solomon Islands,2023,1.5
Somalia,2005,19.3
Somalia,2010,19.2
Somalia,2015,18.9
Somalia,2023,20.4
South Africa,2005,19.7
South Africa,2010,23.2
South Africa,2015,22.9
South Africa,2023,29.9
South Sudan,2005,12.1
South Sudan,2010,12.1
South Sudan,2015,12.3
South Sudan,2023,12.7
Spain,2005,9.2
Spain,2010,19.9
Spain,2015,22.1
Spain,2023,13.9
Sri Lanka,2005,7.7
Sri Lanka,2010,4.8
Sri Lanka,2015,4.5
Sri Lanka,2023,7.2
State of Palestine,2005,20.0
State of Palestine,2010,21.4
State of Palestine,2015,23.0
State of Palestine,2023,25.6
Sudan,2005,15.0
Sudan,2010,15.1
Sudan,2015,17.4
Sudan,2023,18.5
Suriname,2005,9.4
Suriname,2010,7.2
Suriname,2015,7.2
Suriname,2023,8.2
Sweden,2005,7.5
Sweden,2010,8.6
Sweden,2015,7.4
Sweden,2023,7.5
Switzerland,2005,4.4
Switzerland,2010,4.8
Switzerland,2015,4.8
Switzerland,2023,4.2
Syrian Arab Republic,2005,8.9
Syrian Arab Republic,2010,8.6
Syrian Arab Republic,2015,8.7
Syrian Arab Republic,2023,9.5
Tajikistan,2005,13.1
Tajikistan,2010,10.9
Tajikistan,2015,7.6
Tajikistan,2023,8.4
Thailand,2005,1.4
Thailand,2010,0.6
Thailand,2015,0.6
Thailand,2023,0.8
Timor-Leste,2005,3.5
Timor-Leste,2010,3.3
Timor-Leste,2015,4.5
Timor-Leste,2023,4.8
Togo,2005,4.3
Togo,2010,2.4
Togo,2015,2.2
Togo,2023,4.0
Tonga,2005,2.5
Tonga,2010,1.5
Tonga,2015,1.9
Tonga,2023,2.9
Trinidad and Tobago,2005,8.0
Trinidad and Tobago,2010,4.0
Trinidad and Tobago,2015,2.4
Trinidad and Tobago,2023,3.7
Tunisia,2005,12.9
Tunisia,2010,13.1
Tunisia,2015,15.2
Tunisia,2023,16.1
Türkiye,2005,10.6
Türkiye,2010,10.7
Türkiye,2015,10.2
Türkiye,2023,9.9
Turkmenistan,2005,7.5
Turkmenistan,2010,4.0
Turkmenistan,2015,4.1
Turkmenistan,2023,5.5
Turks and Caicos Islands,2008,8.3
Uganda,2005,1.9
Uganda,2010,3.6
Uganda,2015,2.7
Uganda,2023,4.3
Ukraine,2005,7.2
Ukraine,2010,8.1
Ukraine,2015,9.1
Ukraine,2021,9.8
United Arab Emirates,2005,3.1
United Arab Emirates,2010,2.5
United Arab Emirates,2015,1.8
United Arab Emirates,2023,2.7
United Kingdom,2005,4.8
United Kingdom,2010,7.8
United Kingdom,2015,5.3
United Kingdom,2023,4.0
United Rep. of Tanzania,2005,3.2
United Rep. of Tanzania,2010,3.0
United Rep. of Tanzania,2015,2.1
United Rep. of Tanzania,2023,2.9
United States of America,2005,5.1
United States of America,2010,9.6
